,County,Cattle_Dairy,Cattle_Beef,Wool_sheep,Hair_Sheep,Goats_Dairy,Goats_Meat,Pigs,Rabbits,Broilers,Layers,Indigenous Chicken,Improved Indegenious Chicken,Turkeys,Ducks,Geese,Guinea Fowl,Pigeons,Doves,Quails,Donkeys,Camels,Hives_Log,Hives_Ktbh,Hives_Lang,Hives_Box,Cab Hive,Ostrich,Horses,Crocodile,,,,
1,Baringo," 147,496 "," 383,626 "," 18,439 "," 380,921 "," 7,743 "," 1,046,051 ", 350 ," 6,503 "," 15,906 "," 31,173 "," 1,251,753 ",, 270 ," 1,303 ", 227 , 568 , 165 ,, 15 ," 4,443 "," 19,263 "," 165,939 "," 29,137 "," 3,819 ", 5 ,,,,,,,,
2,Bomet," 329,946 "," 7,947 "," 88,850 "," 77,249 "," 82,762 "," 73,594 ", 358 ," 6,685 "," 13,851 "," 96,343 "," 961,090 ",," 2,056 "," 2,172 "," 2,255 ",,,,," 9,895 ",,," 20,335 "," 4,918 ",,,,,,,,,
3,Bungoma," 183,783 "," 288,165 "," 1,360 "," 141,092 "," 6,939 "," 151,910 "," 18,227 "," 40,541 "," 21,982 "," 56,634 "," 3,123,769 ",," 30,975 "," 50,459 "," 16,403 "," 4,137 "," 20,211 ", 2 , 302 ," 12,754 ",," 6,477 "," 8,689 "," 9,799 ",,,,,,,,,
4,Busia," 35,976 "," 269,917 ",," 49,415 "," 2,586 "," 106,330 "," 86,220 "," 5,461 "," 13,005 "," 60,780 "," 1,739,979 "," 200,409 "," 6,723 "," 34,133 "," 3,212 "," 4,877 "," 7,264 ",, 786 , 311 ,, 733 ," 1,216 "," 4,100 ",,," 6,049 ",,,,,,
5,Elgeyo Marakwet," 280,385 "," 124,729 "," 220,875 "," 222,819 "," 2,485 "," 374,383 ", 635 ," 2,562 "," 4,054 "," 20,209 "," 675,814 ",, 828 ," 5,467 "," 1,646 ", 578 , 56 , 399 ,," 3,886 ", 557 ," 37,994 "," 12,277 "," 3,022 ", 334 ,,,,,,,,
6,Embu," 134,493 "," 200,678 ",," 57,919 "," 49,927 "," 337,374 "," 28,833 "," 31,192 "," 25,622 "," 70,363 "," 629,057 ",," 1,634 "," 6,521 "," 2,105 ", 984 ,," 2,108 ",, 6 ," 11,851 "," 43,427 "," 5,069 "," 7,478 ", 816 ,, 6 ,,,,,,
7,Garissa," 399,105 "," 1,153,105 ",," 1,036,163 ", 267 ," 1,924,595 ",, 141 ," 204,000 "," 129,456 "," 261,150 ",, 24 , 47 ,,, 87 ,, 127 ," 134,422 "," 491,280 ", 227 ," 1,900 ", 534 , 162 ,, 30 ,,,,,,
8,Homa Bay," 12,203 "," 385,137 ",," 297,464 "," 5,147 "," 552,109 "," 15,497 "," 4,328 "," 4,856 "," 18,558 "," 4,600,514 ",, 933 ," 6,138 "," 1,539 "," 1,765 "," 2,283 ", 15 , 962 ," 10,354 ",,, 917 ," 15,617 ",,,,,,,,,
9,Isiolo," 6,764 "," 166,184 ",," 883,010 "," 1,255 "," 1,090,745 ", 476 , 824 ," 14,539 "," 29,068 "," 105,077 ",, 120 , 234 , 326 , 324 , 220 ,,," 39,283 "," 162,516 "," 3,960 "," 3,872 "," 6,860 ", 113 ,, 16 ,,,,,,
10,Kajiado," 137,500 "," 378,400 ",," 959,654 "," 3,453 "," 1,033,419 "," 51,318 "," 15,694 "," 1,004,948 "," 156,617 "," 324,284 ",," 1,347 "," 2,032 ", 980 , 653 ,, 158 , 100 ," 40,102 "," 2,653 ", 993 ," 9,882 "," 9,602 ", 584 ,," 1,212 ",,,,,,
11,Kakamega," 106,845 "," 320,621 ", 450 ," 86,038 "," 10,074 "," 119,461 "," 83,299 "," 61,721 "," 344,492 "," 434,247 "," 3,445,882 ",," 19,241 "," 59,260 "," 12,955 "," 12,131 "," 22,760 "," 2,698 "," 12,364 "," 2,413 ", 9 ," 4,394 "," 14,305 "," 27,293 ", 411 ,, -   ,,,,,,
12,Kericho," 281,601 "," 111,398 "," 12,195 "," 53,001 "," 2,068 "," 82,737 "," 1,322 "," 6,874 "," 8,810 "," 49,641 "," 505,099 ",, 608 ," 4,641 "," 3,406 ",,,,," 15,000 ",," 12,139 "," 6,747 "," 1,562 ",,,,,,,,,
13,Kiambu," 273,836 "," 29,875 "," 40,197 "," 88,457 "," 15,182 "," 70,752 "," 96,682 "," 25,135 "," 439,334 "," 1,605,513 "," 1,339,610 ",," 4,360 "," 10,740 "," 3,466 ", 590 ,,,," 6,667 ",," 1,455 "," 5,563 "," 5,561 ", 110 ,,,,,,,,
14,Kilifi," 31,993 "," 236,893 ",," 68,084 "," 3,480 "," 473,290 "," 2,766 "," 5,123 "," 227,010 "," 82,056 "," 702,740 ",," 6,299 "," 84,654 "," 10,661 "," 8,168 ",, 558 , 340 , 767 ," 2,490 "," 6,033 "," 3,963 "," 8,517 ", 183 ,, 20 , 121 ," 80,010 ",,,,
15,Kirinyaga," 89,889 "," 41,100 ",," 19,178 "," 24,337 "," 52,355 "," 17,616 "," 21,099 "," 499,050 "," 44,600 "," 383,848 "," 594,140 ", 796 ," 9,050 "," 8,638 ", 920 ,,,," 5,055 ",," 3,272 "," 7,425 "," 6,430 ", 171 ,,,,,,,,
16,Kisii," 57,236 "," 166,028 ",," 15,676 "," 2,473 "," 64,721 "," 1,862 "," 5,623 "," 25,106 "," 97,679 "," 1,039,450 ",," 1,415 "," 3,501 "," 1,182 "," 1,084 ", 474 ," 2,746 ", 145 ," 1,762 ",, 376 ," 3,735 "," 2,489 ", 163 ,,,,,,,,
17,Kisumu," 25,218 "," 229,614 ",," 267,464 "," 4,244 "," 210,596 "," 159,290 "," 11,806 "," 676,403 "," 71,326 "," 3,358,608 ",, 804 ," 5,872 "," 1,237 ", 753 ," 4,244 ",, 155 ," 3,526 ",,," 1,411 "," 3,609 ",,,,,,,,,
18,Kitui," 10,564 "," 602,505 ",," 131,486 "," 7,032 "," 1,999,058 "," 3,595 "," 19,712 "," 22,743 "," 452,859 "," 4,101,538 ",," 23,129 "," 17,002 "," 17,080 "," 3,902 "," 12,552 ",,," 326,095 ",," 211,646 "," 3,047 "," 12,105 "," 1,031 ",,,,,,,,
19,Kwale," 8,472 "," 260,801 ",," 77,309 "," 3,584 "," 472,803 "," 1,051 "," 2,498 "," 79,568 "," 41,594 "," 614,192 ",," 1,137 "," 51,939 "," 1,861 "," 16,399 "," 8,566 ",,," 1,359 "," 2,826 "," 3,177 "," 3,959 "," 8,730 ", 5 ,,,,,,,,
20,Laikipia," 79,575 "," 243,266 "," 3,250 "," 374,340 "," 18,550 "," 596,240 "," 5,990 "," 10,355 "," 54,354 "," 59,220 "," 640,170 ",," 5,470 "," 12,930 "," 4,590 ",,,,," 20,680 "," 19,430 "," 36,140 "," 43,930 "," 13,620 "," 1,740 ",,,,,,,,
21,Lamu," 10,391 "," 357,504 ",," 224,422 "," 7,222 "," 1,036,154 "," 7,734 "," 4,645 "," 7,816 "," 9,066 "," 225,633 ",," 1,502 "," 4,203 "," 5,038 ", 214 ," 1,431 "," 1,276 "," 3,091 "," 73,385 "," 221,508 "," 1,410 "," 1,177 "," 1,076 ", 528 ,,,,,,,,
22,Machakos," 65,010 "," 300,220 ",," 187,777 "," 8,143 "," 614,448 "," 10,627 "," 26,897 "," 446,989 "," 468,386 "," 2,381,287 ",," 4,560 "," 6,435 "," 2,705 "," 1,420 ", 175 ,,," 25,100 ", 190 ," 25,719 "," 6,810 "," 15,845 ",,,,,,,,,
23,Makueni," 27,216 "," 199,654 ",," 112,731 "," 14,992 "," 852,341 "," 3,082 "," 16,541 "," 26,972 "," 37,706 "," 1,427,828 ",,, 911 ," 2,992 ",,,,," 38,186 ", 650 ," 37,314 "," 1,454 "," 10,405 ",,,,,,,,,
24,Mandera, 51 ," 597,279 ",," 636,500 ", 84 ," 2,537,634 ",,, 120 ," 1,853 "," 47,588 ",,,,,,,,," 115,162 "," 744,612 "," 20,458 "," 2,418 ", 594 , 48 ,,,,,,,,
25,Marsabit, 396 ," 113,932 ",," 532,550 ", 374 ," 627,253 ",, 80 , 680 ," 8,630 "," 75,506 ",, 17 , 15 ,, 8 ,,,," 72,968 "," 183,388 ", 391 ," 2,606 "," 2,646 ",,, 2 ,,,,,,
26,Meru," 227,370 "," 221,080 "," 32,310 "," 77,240 "," 38,820 "," 229,880 "," 42,070 "," 25,660 "," 65,250 "," 128,280 "," 1,442,230 ",," 1,200 "," 3,520 "," 1,615 "," 2,080 ",," 425,434 "," 139,688 "," 5,750 "," 2,380 "," 31,050 "," 5,270 "," 2,810 ",,,,,,,,,
27,Migori," 13,334 "," 441,898 ",," 310,413 "," 3,579 "," 584,943 "," 7,339 "," 4,326 "," 2,817 "," 20,500 "," 4,632,215 ",, 240 ," 7,143 "," 1,189 "," 3,062 "," 1,805 ", 533 ," 2,625 "," 4,462 ",, 987 , 706 ," 3,378 ",,,,,,,,,
28,Mombasa," 2,859 "," 7,482 ",," 2,263 ", 237 ," 25,248 "," 2,357 "," 1,326 "," 121,402 "," 37,620 "," 78,819 ",, 778 ," 6,130 "," 4,993 "," 1,905 ", 608 , 403 ," 1,770 ", 27 , 28 , 173 , 62 , 388 , 2 ,, 1 ,,,,,,
29,Muranga," 322,118 "," 36,536 "," 18,459 "," 41,841 "," 79,663 "," 107,095 "," 48,373 "," 64,284 "," 95,759 "," 558,391 "," 983,105 ",," 4,135 "," 4,245 "," 3,643 "," 1,828 "," 1,027 ", 935 , 150 ," 1,012 ",," 13,362 "," 7,588 "," 7,467 ", 871 ,, 5 ,,,,,,
